[18:39:40] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[18:39:41] [ServerMain/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[18:39:41] [ServerMain/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[18:39:41] [ServerMain/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[18:39:41] [ServerMain/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[18:39:41] [ServerMain/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[18:39:41] [ServerMain/INFO]: Reloading ResourceManager: Default
[18:39:42] [Worker-Main-2/INFO]: Loaded 7 recipes
[18:39:43] [Worker-Main-2/INFO]: Loaded 1141 advancements
[18:39:46] [Server thread/INFO]: Starting minecraft server version 1.18.1
[18:39:46] [Server thread/INFO]: Loading properties
[18:39:46] [Server thread/INFO]: Default game type: SURVIVAL
[18:39:46] [Server thread/INFO]: Generating keypair
[18:39:47] [Server thread/INFO]: Starting Minecraft server on *:25565
[18:39:47] [Server thread/INFO]: Using epoll channel type
[18:39:47] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[18:39:47] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[18:39:47] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[18:39:47] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[18:39:47] [Server thread/INFO]: Preparing level "world"
[18:40:00] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[18:40:02] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[18:40:02] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[18:40:02] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[18:40:02] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[18:40:02] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[18:40:02] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[18:40:03] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[18:40:03] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[18:40:04] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[18:40:04] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[18:40:05] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[18:40:05] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[18:40:06] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[18:40:06] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[18:40:07] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[18:40:07] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[18:40:08] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[18:40:08] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[18:40:09] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[18:40:09] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[18:40:10] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[18:40:10] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[18:40:11] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[18:40:11] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[18:40:12] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[18:40:12] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[18:40:13] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[18:40:13] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[18:40:14] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[18:40:14] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[18:40:15] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[18:40:15] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[18:40:16] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[18:40:16] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[18:40:17] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[18:40:17] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[18:40:18] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[18:40:18] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[18:40:19] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[18:40:19] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[18:40:20] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[18:40:20] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[18:40:21] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[18:40:21] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[18:40:22] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[18:40:22] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[18:40:23] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[18:40:23] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[18:40:24] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[18:40:24] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[18:40:25] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[18:40:25] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[18:40:26] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[18:40:26] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[18:40:27] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[18:40:27] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[18:40:28] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[18:40:28] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[18:40:29] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[18:40:29] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[18:40:30] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[18:40:30] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[18:40:31] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[18:40:31] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[18:40:32] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[18:40:32] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[18:40:33] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[18:40:33] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[18:40:34] [Worker-Main-2/INFO]: Preparing spawn area: 0%
